521177 10
R PC 0x0000000B 0x000000E6
R cpuss_CPUSS_INT_GROUP0_CPUSS_INT_GROUP0_IIDX 0x0000000B 0x00000000
R cpuss_CPUSS_INT_GROUP0_CPUSS_INT_GROUP0_IMASK 0x0000000B 0x000000FF
R cpuss_CPUSS_INT_GROUP0_CPUSS_INT_GROUP0_RIS 0x0000000B 0x00000000
R cpuss_CPUSS_INT_GROUP0_CPUSS_INT_GROUP0_MIS 0x0000000B 0x00000000
R cpuss_CPUSS_INT_GROUP0_CPUSS_INT_GROUP0_ISET 0x0000000B 0x00000000
R cpuss_CPUSS_INT_GROUP0_CPUSS_INT_GROUP0_ICLR 0x0000000B 0x00000000
R cpuss_CPUSS_INT_GROUP1_CPUSS_INT_GROUP1_IIDX 0x0000000B 0x00000000
R cpuss_CPUSS_INT_GROUP1_CPUSS_INT_GROUP1_IMASK 0x0000000B 0x000000FF
R cpuss_CPUSS_INT_GROUP1_CPUSS_INT_GROUP1_RIS 0x0000000B 0x00000000
R cpuss_CPUSS_INT_GROUP1_CPUSS_INT_GROUP1_MIS 0x0000000B 0x00000000
R cpuss_CPUSS_INT_GROUP1_CPUSS_INT_GROUP1_ISET 0x0000000B 0x00000000
R cpuss_CPUSS_INT_GROUP1_CPUSS_INT_GROUP1_ICLR 0x0000000B 0x00000000
R cpuss_CPUSS_EVT_MODE 0x0000000B 0x00000001
R cpuss_CPUSS_DESC 0x0000000B 0x27110000
R cpuss_CPUSS_CTL 0x0000000B 0x00000007
R crc_CRC_GPRCM_CRC_PWREN 0x0000000B 0x00000000
R crc_CRC_GPRCM_CRC_RSTCTL 0x0000000B 0x00000000
R crc_CRC_GPRCM_CRC_STAT 0x0000000B 0x00010000
R crc_CRC_CRCIN_IDX_0 0x0000000B 0x00000000
R crc_CRC_CRCIN_IDX_1 0x0000000B 0x00000000
R crc_CRC_CRCIN_IDX_2 0x0000000B 0x00000000
R crc_CRC_CRCIN_IDX_3 0x0000000B 0x00000000
R crc_CRC_CRCIN_IDX_4 0x0000000B 0x00000000
R crc_CRC_CRCIN_IDX_5 0x0000000B 0x00000000
R crc_CRC_CRCIN_IDX_6 0x0000000B 0x00000000
R crc_CRC_CRCIN_IDX_7 0x0000000B 0x00000000
